,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
41,0.00012214978535970053,1.0721474936192862e-06,0.0,0.0,0.00026366508987303583,100,l1,newton-cg,"{'C': 0.00026366508987303583, 'max_iter': 100, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,561
42,0.0008893807729085287,0.0003822758389401749,0.00030382474263509113,3.106545189880686e-05,0.00026366508987303583,100,l1,liblinear,"{'C': 0.00026366508987303583, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}",0.296875,0.2992125984251969,0.2992125984251969,0.29843339895013127,0.0011019544654318027,537
43,0.0001377264658610026,1.3174768971757789e-05,0.0,0.0,0.00026366508987303583,100,l1,sag,"{'C': 0.00026366508987303583, 'max_iter': 100, 'penalty': 'l1', 'solver': 'sag'}",,,,,,561
44,0.0019235610961914062,0.0016948776512715749,0.0003082752227783203,5.9209467273582805e-05,0.00026366508987303583,100,l1,saga,"{'C': 0.00026366508987303583, 'max_iter': 100, 'penalty': 'l1', 'solver': 'saga'}",0.703125,0.7007874015748031,0.7007874015748031,0.7015666010498688,0.0011019544654318027,433
45,0.0018901824951171875,0.00040546881673987417,0.0003255208333333333,4.6104808126316785e-05,0.00026366508987303583,100,l2,lbfgs,"{'C': 0.00026366508987303583, 'max_iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}",0.703125,0.7007874015748031,0.7007874015748031,0.7015666010498688,0.0011019544654318027,433
46,0.002471764882405599,0.0004967145537481649,0.0003238519032796224,5.67437331325889e-05,0.00026366508987303583,100,l2,newton-cg,"{'C': 0.00026366508987303583, 'max_iter': 100, 'penalty': 'l2', 'solver': 'newton-cg'}",0.703125,0.7007874015748031,0.7007874015748031,0.7015666010498688,0.0011019544654318027,433
47,0.0006249745686848959,4.8057889468696895e-05,0.00026535987854003906,1.2653417053294705e-05,0.00026366508987303583,100,l2,liblinear,"{'C': 0.00026366508987303583, 'max_iter': 100, 'penalty': 'l2', 'solver': 'liblinear'}",0.828125,0.8267716535433071,0.8188976377952756,0.8245980971128608,0.004068522580457976,101
48,0.0023116270701090493,0.0007874330637209077,0.0006962617238362631,0.0002527781443847616,0.00026366508987303583,100,l2,sag,"{'C': 0.00026366508987303583, 'max_iter': 100, 'penalty': 'l2', 'solver': 'sag'}",0.703125,0.7007874015748031,0.7007874015748031,0.7015666010498688,0.0011019544654318027,433
49,0.0014681816101074219,0.0005697974927970095,0.0002925395965576172,3.008486015779962e-05,0.00026366508987303583,100,l2,saga,"{'C': 0.00026366508987303583, 'max_iter': 100, 'penalty': 'l2', 'solver': 'saga'}",0.703125,0.7007874015748031,0.7007874015748031,0.7015666010498688,0.0011019544654318027,433
50,0.00024318695068359375,0.0001608554631960819,0.0,0.0,0.00026366508987303583,1000,l1,lbfgs,"{'C': 0.00026366508987303583, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,561
51,0.0003670056660970052,4.545958724363674e-06,0.0,0.0,0.00026366508987303583,1000,l1,newton-cg,"{'C': 0.00026366508987303583, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,561
52,0.0007119178771972656,0.00020698806622455505,0.0002827644348144531,2.9165781584687646e-05,0.00026366508987303583,1000,l1,liblinear,"{'C': 0.00026366508987303583, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.296875,0.2992125984251969,0.2992125984251969,0.29843339895013127,0.0011019544654318027,537
53,0.0001503626505533854,2.2311642670167535e-05,0.0,0.0,0.00026366508987303583,1000,l1,sag,"{'C': 0.00026366508987303583, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'sag'}",,,,,,561
54,0.0007937749226888021,9.357381677772904e-05,0.0002830028533935547,2.5053243922914296e-05,0.00026366508987303583,1000,l1,saga,"{'C': 0.00026366508987303583, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga'}",0.703125,0.7007874015748031,0.7007874015748031,0.7015666010498688,0.0011019544654318027,433
55,0.0015707015991210938,9.118879520792103e-05,0.0003540515899658203,6.77905822457728e-05,0.00026366508987303583,1000,l2,lbfgs,"{'C': 0.00026366508987303583, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.703125,0.7007874015748031,0.7007874015748031,0.7015666010498688,0.0011019544654318027,433
56,0.0041735172271728516,0.0012993004975026816,0.0009361108144124349,0.0004271173892372158,0.00026366508987303583,1000,l2,newton-cg,"{'C': 0.00026366508987303583, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'newton-cg'}",0.703125,0.7007874015748031,0.7007874015748031,0.7015666010498688,0.0011019544654318027,433
57,0.0011136531829833984,0.0005437549903075625,0.0004840691884358724,0.0002676461620057102,0.00026366508987303583,1000,l2,liblinear,"{'C': 0.00026366508987303583, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}",0.828125,0.8267716535433071,0.8188976377952756,0.8245980971128608,0.004068522580457976,101
