,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
127,0.00042896270751953126,2.8167881272935242e-05,0.00024542808532714846,1.5124084021714883e-06,sqrt,7,9,"{'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 9}",0.7792207792207793,0.7012987012987013,0.8157894736842105,0.75,0.7894736842105263,0.7671565276828435,0.03909057383973674,85
128,0.0004394054412841797,5.248220619364023e-05,0.0002445697784423828,3.376465028209778e-06,sqrt,7,10,"{'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 10}",0.7402597402597403,0.7532467532467533,0.6842105263157895,0.7105263157894737,0.7763157894736842,0.7329118250170881,0.03232439578287895,320
129,0.0018402099609375,0.00023136646016751831,0.0008321285247802734,0.0002356913221530323,sqrt,7,11,"{'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 11}",0.7792207792207793,0.7532467532467533,0.8157894736842105,0.8157894736842105,0.7763157894736842,0.7880724538619275,0.02435515181839744,23
130,0.0005826950073242188,0.00019334185663085604,0.000298309326171875,3.633061079716359e-05,sqrt,7,12,"{'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 12}",0.7532467532467533,0.7662337662337663,0.8026315789473685,0.7894736842105263,0.7236842105263158,0.7670539986329461,0.027715186628215045,95
131,0.0005640029907226562,0.0001693427670757659,0.00042924880981445315,0.0003250244495387457,sqrt,7,13,"{'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 13}",0.8051948051948052,0.7662337662337663,0.7763157894736842,0.7236842105263158,0.6973684210526315,0.7537593984962406,0.03845636736639852,167
132,0.00042262077331542967,2.0028636514687578e-05,0.00024137496948242187,2.319409657862722e-06,sqrt,7,14,"{'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 14}",0.7662337662337663,0.7402597402597403,0.7236842105263158,0.8157894736842105,0.7368421052631579,0.7565618591934382,0.03267116056323149,150
133,0.0006234169006347657,0.0003389218981719692,0.0002764225006103516,4.5311223578741885e-05,sqrt,7,15,"{'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 15}",0.7532467532467533,0.7792207792207793,0.7631578947368421,0.6842105263157895,0.7105263157894737,0.7380724538619277,0.035249454881570004,291
134,0.0004181861877441406,1.938388502519402e-05,0.00024161338806152343,2.7950956134324732e-06,sqrt,7,16,"{'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 16}",0.8051948051948052,0.7792207792207793,0.5789473684210527,0.7894736842105263,0.7105263157894737,0.7326725905673275,0.08339600845473659,324
135,0.0004276275634765625,3.024651427133994e-05,0.00024194717407226561,1.9625774028069188e-06,sqrt,7,17,"{'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 17}",0.7662337662337663,0.7272727272727273,0.7894736842105263,0.7763157894736842,0.7763157894736842,0.7671223513328776,0.021248071970505034,89
136,0.0010005474090576173,0.0005141043344534176,0.0006428718566894531,0.0003338726340017544,sqrt,7,18,"{'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 18}",0.7922077922077922,0.7792207792207793,0.8421052631578947,0.7631578947368421,0.631578947368421,0.7616541353383459,0.07019446233224574,128
